0.5718,-3.996,1.405,0.2,1.728,6.263;
1.185,6.803,9.079,-6.544,-4.879,-13.28;
2.188,-3.791,6.158,3.756,2.94,12.73;
3.372,-2.609,-3.53,-5.211,1.117,-3.361;
1.769,-3.706,-4.109,1.133,0.7663,5.803;
-2.601,-4.305,-3.841,1.256,6.224,7.558;
-7.693,7.89,3.02,-7.867,-7.244,-20.98;
-3.949,-0.7603,-4.315,5.978,1.28,8.932;
-2.417,-3.937,-0.8617,-1.856,4.485,3.056;
2.941,-5.009,0.5066,-3.267,3.23,3.409;
7.047,-0.9038,-2.367,-5.433,-5.082,-5.92;
6.073,1.704,5.153,-1.556,2.472,1.148;
1.434,1.371,0.01257,5.289,0.9075,6.961;
3.124,2.601,-0.4961,-6.278,-0.0418,-9.533;
1.062,-2.154,0.4067,-6.667,4.306,-4.296;
3.861,-0.7872,6.078,-5.156,-3.708,-2.746;
-0.2183,-6.392,0.8756,-0.2778,7.525,9.028;
0.2384,-7.727,7.849,-0.2333,7.548,12.07;
7.37,5.128,2.527,-2.333,-3.434,-5.449;
-5.701,-6.808,-5.893,3.011,-5.947,9.989;
-0.4916,1.836,1.002,-0.7556,2.226,-1.406;
-3.123,2.199,-1.68,-6.356,-3.354,-11.09;
-1.298,-2.221,-4.894,-3.733,5.421,-1.449;
5.861,1.36,6.292,-0.6222,4.707,3.592;
1.858,0.5808,-3.859,3.689,-8.799,2.779;
1.626,1.595,0.2637,-5.789,-1.951,-8.278;
1.639,3.558,7.388,0.4333,6.595,1.413;
-4.124,-3.862,2.76,6.289,1.36,12.88;
1.711,-1.212,7.134,1.911,-0.9669,6.853;
-7.645,0.6936,2.353,3.544,-1.731,2.792;
4.079,4.163,2.53,0.6778,5.835,0.3864;
-0.9673,0.1103,3.95,1.656,-4.263,2.647;
2.145,-2.847,-4.5,-2.856,2.775,-0.03588;
-1.804,6.142,2.27,-0.4,5.869,-4.92;
-4.689,-5.738,5.831,-1.411,4.076,5.17;
4.373,1.4,4.375,2.489,5.315,6.362;
-4.422,-2.781,-1.596,1.944,-7.408,4.09;
-0.4183,0.891,-6.804,0.5889,-4.289,-1.358;
4.738,-6.577,-0.9405,2.544,-5.584,10.76;
-7.406,2.173,-5.997,0.08889,-3.222,-2.731;
0.06111,-4.283,-0.9602,-0.4333,4.052,5.591;
0.8887,-5.918,-5.582,3.089,4.595,11.1;
-5.467,-0.5013,-1.68,-0.4333,4.81,0.8618;
0.8429,1.154,8.133,8.467,5.15,13.99;
4.02,-6.256,-2.091,6.944,-3.696,16.04;
0.4717,3.264,-1.92,7.122,5.834,7.732;
-0.6069,-6.663,7.929,6.1,-1.932,16.94;
4.641,1.754,4.172,0.8889,-0.65,2.718;
-3.278,-2.919,-4.837,-1.167,-1.768,1.216;
-7.962,-5.96,-9.607,-0.4111,3.618,7.036;
-9.008,-7.558,-4.229,-5.822,-0.8061,0.07247;
-2.498,4.263,-9.391,-5.111,0.8477,-11.49;
-4.988,-0.6628,1.126,7.067,4.93,10.96;
-5.402,0.4013,-6.931,-6.278,1.528,-8.324;
-7.156,2.154,5.792,1.033,-1.436,-2.141;
-1.3,-1.678,4.602,2.511,0.7495,6.641;
0.3608,-1.669,-5.291,-3.689,6.071,-1.922;
1.066,6.418,9.428,-6.389,3.347,-11;
0.4169,-1.029,5.395,4.189,-0.2079,8.796;
-7.078,0.7115,-7.715,-4.122,0.3676,-5.862;
5.799,-0.3782,-4.221,3.611,0.8995,5.654;
6.63,-0.1474,-4.904,-5.422,1.875,-6.538;
-6.783,2.615,-2.614,6.5,-6.211,4.349;
