0.267179,0.676344,0.462976,0.839025,0.461665
0.607137,0.305619,0.551285,0.424972,0.414562
0.138552,0.612854,0.886788,0.336263,0.140676
0.933662,0.992841,0.322095,0.631731,0.874698
0.638313,0.172813,0.26838,0.347324,0.598849
0.239492,0.328008,0.883661,0.072314,0.255774
0.840461,0.523753,0.071011,0.453325,0.472364
0.780746,0.820105,0.974629,0.895757,0.057171
0.859943,0.342417,0.564261,0.52591,0.692196
0.728824,0.900873,0.741588,0.007839,0.426246
0.77962,0.921452,0.860837,0.735368,0.730113
0.10992,0.071178,0.314356,0.83608,0.805843
0.261078,0.692903,0.008336,0.743092,0.454781
0.052511,0.071635,0.211057,0.971975,0.021421
0.2695,0.890303,0.164627,0.756373,0.923323
0.371096,0.132027,0.30943,0.183821,0.147832
0.968809,0.273094,0.658548,0.656169,0.061307
0.027281,0.05134,0.874146,0.698966,0.233809
0.211442,0.99408,0.494594,0.609169,0.546462
0.15575,0.674936,0.648675,0.213267,0.888602
