0.811724,0.8751,0.310441,0.232178,0.47984,1.13219
0.588436,0.396974,0.397056,0.935092,0.966174,1.53411
0.98895,0.024095,0.712651,0.235881,0.907921,0.950641
0.810565,0.979831,0.027827,0.02413,0.492828,0.833936
0.052098,0.165638,0.84904,0.190936,0.755101,1.00185
0.275332,0.889558,0.386303,0.276518,0.557329,0.785338
0.297467,0.498654,0.689654,0.231696,0.01845,0.842262
0.529715,0.128191,0.517059,0.651497,0.75767,1.07858
0.049363,0.014368,0.911754,0.784351,0.635335,1.41079
0.360974,0.936975,0.274891,0.142325,0.901757,0.741457
0.284924,0.945935,0.310675,0.818649,0.362594,0.877032
0.387832,0.874108,0.784969,0.996377,0.640567,1.76222
0.991544,0.502554,0.819614,0.451184,0.65683,1.61427
0.199259,0.464707,0.868706,0.843154,0.674965,1.5304
0.461805,0.062812,0.351066,0.667402,0.140118,0.473588
0.479532,0.458684,0.955644,0.529091,0.662162,1.52594
0.623097,0.950348,0.674946,0.686863,0.194794,1.4009
0.066628,0.999055,0.97223,0.317305,0.817684,1.29825
0.995027,0.873708,0.606632,0.796017,0.183399,1.62198
0.247973,0.932748,0.951363,0.964122,0.231121,1.40549
0.840322,0.828626,0.787499,0.498948,0.132091,1.54972
0.605231,0.210093,0.072929,0.634823,0.214604,0.336319
0.941959,0.118948,0.958676,0.525189,0.426012,1.29446
0.506288,0.996783,0.087647,0.626367,0.521145,0.918734
0.975809,0.311948,0.383065,0.308774,0.861794,0.953566
0.282176,0.409783,0.526834,0.472636,0.448723,0.854548
0.022772,0.106431,0.982797,0.756544,0.445862,1.32253
0.080938,0.234288,0.128583,0.902628,0.193354,0.322073
0.884518,0.440784,0.716765,0.781068,0.443118,1.45275
0.451139,0.484358,0.784613,0.629165,0.649954,1.41205
0.28565,0.45115,0.211598,0.70978,0.844218,0.939678
0.57783,0.585952,0.220529,0.041511,0.618628,0.58479
0.837472,0.024321,0.447766,0.388597,0.984035,0.850527
0.11185,0.049345,0.368057,0.367296,0.479127,0.549558
0.484765,0.650485,0.200025,0.320023,0.146626,0.562281
0.114762,0.976767,0.727425,0.58646,0.190673,0.951343
0.205743,0.301807,0.051823,0.081982,0.240611,0.133643
0.221229,0.911911,0.573823,0.129037,0.082158,0.786166
0.044108,0.662332,0.452087,0.163925,0.107105,0.498858
0.417687,0.086849,0.550891,0.440392,0.318706,0.727522
0.429179,0.315735,0.591928,0.092236,0.620351,0.784654
0.520826,0.311356,0.990089,0.562642,0.924348,1.67233
0.863308,0.445151,0.347869,0.910358,0.970319,1.61551
0.271599,0.034059,0.877598,0.197032,0.850407,1.05441
0.64362,0.546219,0.051918,0.813021,0.179637,0.549524
0.839694,0.932666,0.012798,0.29269,0.229804,0.863213
0.277316,0.687203,0.102712,0.734231,0.18054,0.425842
0.723049,0.94789,0.264153,0.549477,0.909975,1.44953
0.637309,0.906781,0.938816,0.016602,0.002779,1.51676
0.347422,0.373004,0.674482,0.960856,0.851419,1.62216
0.416708,0.678162,0.054343,0.523818,0.794031,0.752866
0.309578,0.335157,0.288646,0.989052,0.64961,1.0349
0.12878,0.091376,0.946567,0.207515,0.577553,1.07819
0.183271,0.381067,0.801837,0.957928,0.435176,1.28854
